comm_id,city,district,title,title_1,session,ordinal_no,sitting,date,url
xx0931103,서울특별시,nan,본회의,임시회,제311회,제9대,제3차,2024.9.10,
xx0931001,서울특별시,nan,본회의,임시회,제310회,제9대,제1차,2024.7.17,
gd0931002,서울특별시,강동구,본회의,임시회,제310회,제9대,제2차,2024.7.22,
gd0931003,서울특별시,강동구,본회의,임시회,제310회,제9대,제3차,2024.7.24,
xx0931004,서울특별시,nan,본회의,임시회,제310회,제9대,제4차,2024.7.25,
xx0931005,서울특별시,nan,본회의,임시회,제310회,제9대,제5차,2024.7.30,
gd0930901,서울특별시,강동구,본회의,정례회,제309회,제9대,제1차,2024.6.5,
gd0930902,서울특별시,강동구,본회의,임시회,제309회,제9대,제2차,2024.6.11,
xx0930903,서울특별시,nan,본회의,정례회,제309회,제9대,제3차,2024.6.19,
xx0930904,서울특별시,nan,본회의,정례회,제309회,제9대,제4차,2024.6.21,
xx0930905,서울특별시,nan,본회의,정례회,제309회,제9대,제5차,2024.6.25,
xx0930906,서울특별시,nan,본회의,정례회,제309회,제9대,제6차,2024.6.27,
xx0930907,서울특별시,nan,본회의,정례회,제309회,제9대,제7차,2024.6.28,
gd0930908,서울특별시,강동구,본회의,임시회,제309회,제9대,제8차,2024.6.29,
gd0930801,서울특별시,강동구,본회의,임시회,제308회,제9대,제1차,2024.4.22,
gd0930802,서울특별시,강동구,본회의,임시회,제308회,제9대,제2차,2024.5.2,
gd0930701,서울특별시,강동구,본회의,임시회,제307회,제9대,제1차,2024.2.22,
gd0930702,서울특별시,강동구,본회의,임시회,제307회,제9대,제2차,2024.3.5,
gd0930601,서울특별시,강동구,본회의,임시회,제306회,제9대,제1차,2024.1.22,
gd0930501,서울특별시,강동구,본회의,정례회,제305회,제9대,제1차,2023.11.15,
gd0930502,서울특별시,강동구,본회의,임시회,제305회,제9대,제2차,2023.11.29,
xx0930503,서울특별시,nan,본회의,정례회,제305회,제9대,제3차,2023.12.19,
gd0930504,서울특별시,강동구,본회의,정례회,제305회,제9대,제4차,2023.12.20,
gd0930505,서울특별시,강동구,본회의,정례회,제305회,제9대,제5차,2023.12.21,
gd0930401,서울특별시,강동구,본회의,임시회,제304회,제9대,제1차,2023.10.12,
gd0930402,서울특별시,강동구,본회의,임시회,제304회,제9대,제2차,2023.10.24,
gd0930301,서울특별시,강동구,본회의,임시회,제303회,제9대,제1차,2023.8.29,
gd0930302,서울특별시,강동구,본회의,임시회,제303회,제9대,제2차,2023.9.7,
gd0930201,서울특별시,강동구,본회의,임시회,제302회,제9대,제1차,2023.6.7,
gd0930202,서울특별시,강동구,본회의,임시회,제302회,제9대,제2차,2023.6.13,
gd0930203,서울특별시,강동구,본회의,임시회,제302회,제9대,제3차,2023.6.21,
gd0930101,서울특별시,강동구,본회의,임시회,제301회,제9대,제1차,2023.4.12,
gd0930001,서울특별시,강동구,본회의,임시회,제300회,제9대,제1차,2023.3.6,
gd0930002,서울특별시,강동구,본회의,임시회,제300회,제9대,제2차,2023.3.14,
gd0929901,서울특별시,강동구,본회의,임시회,제299회,제9대,제1차,2023.1.31,
gd0929902,서울특별시,강동구,본회의,임시회,제299회,제9대,제2차,2023.2.7,
gd0929801,서울특별시,강동구,본회의,정례회,제298회,제9대,제1차,2022.11.16,
gd0929802,서울특별시,강동구,본회의,정례회,제298회,제9대,제2차,2022.11.30,
gd0929803,서울특별시,강동구,본회의,정례회,제298회,제9대,제3차,2022.12.14,
gd0929701,서울특별시,강동구,본회의,임시회,제297회,제9대,제1차,2022.10.19,
gd0929601,서울특별시,강동구,본회의,정례회,제296회,제9대,제1차,2022.9.21,
gd0929602,서울특별시,강동구,본회의,정례회,제296회,제9대,제2차,2022.9.27,
gd0929603,서울특별시,강동구,본회의,정례회,제296회,제9대,제3차,2022.10.5,
gd0929501,서울특별시,강동구,본회의,임시회,제295회,제9대,제1차,2022.8.17,
gd0929502,서울특별시,강동구,본회의,임시회,제295회,제9대,제2차,2022.8.25,
gd0929400,서울특별시,강동구,개원식,임시회,제294회,제9대,,2022.7.22,
gd0929401,서울특별시,강동구,본회의,임시회,제294회,제9대,제1차,2022.7.11,
xx0929402,서울특별시,nan,본회의,임시회,제294회,제9대,제2차,2022.7.14,
xx0929403,서울특별시,nan,본회의,임시회,제294회,제9대,제3차,2022.7.15,
gd0929404,서울특별시,강동구,본회의,임시회,제294회,제9대,제4차,2022.7.19,
xx0929405,서울특별시,nan,본회의,임시회,제294회,제9대,제5차,2022.7.20,
xx0929406,서울특별시,nan,본회의,임시회,제294회,제9대,제6차,2022.7.22,
gn0932803,서울특별시,강남구,본회의,정례회,제328회,제9대,제3차,2025.6.25,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8804&mem_sch=all&schwrd=
gn0932802,서울특별시,강남구,본회의,nan,제328회,제9대,제2차,2025.6.17,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8795&mem_sch=all&schwrd=
gn0932801,서울특별시,강남구,본회의,nan,제328회,제9대,제1차,2025.6.10,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8794&mem_sch=all&schwrd=
gn0932701,서울특별시,강남구,본회의,임시회,제327회,제9대,제1차,2025.5.22,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8766&mem_sch=all&schwrd=
gn0932602,서울특별시,강남구,본회의,임시회,제326회,제9대,제2차,2025.5.1,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8727&mem_sch=all&schwrd=
gn0932601,서울특별시,강남구,본회의,임시회,제326회,제9대,제1차,2025.4.22,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8723&mem_sch=all&schwrd=
gn0932501,서울특별시,강남구,본회의,임시회,제325회,제9대,제1차,2025.3.20,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8710&mem_sch=all&schwrd=
gn0932402,서울특별시,강남구,본회의,임시회,제324회,제9대,제2차,2025.3.7,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8680&mem_sch=all&schwrd=
gn0932401,서울특별시,강남구,본회의,임시회,제324회,제9대,제1차,2025.2.27,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8668&mem_sch=all&schwrd=
gn0932303,서울특별시,강남구,본회의,nan,제323회,제9대,제3차,2024.12.19,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8634&mem_sch=all&schwrd=
gn0932302,서울특별시,강남구,본회의,nan,제323회,제9대,제2차,2024.12.4,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8530&mem_sch=all&schwrd=
gn0932301,서울특별시,강남구,본회의,nan,제323회,제9대,제1차,2024.11.15,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8527&mem_sch=all&schwrd=
gn0932202,서울특별시,강남구,본회의,임시회,제322회,제9대,제2차,2024.10.22,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8402&mem_sch=all&schwrd=
gn0932201,서울특별시,강남구,본회의,임시회,제322회,제9대,제1차,2024.10.11,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8325&mem_sch=all&schwrd=
gn0932102,서울특별시,강남구,본회의,임시회,제321회,제9대,제2차,2024.9.10,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8181&mem_sch=all&schwrd=
gn0932101,서울특별시,강남구,본회의,임시회,제321회,제9대,제1차,2024.9.3,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8177&mem_sch=all&schwrd=
gn0932001,서울특별시,강남구,본회의,임시회,제320회,제9대,제1차,2024.7.9,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8281&mem_sch=all&schwrd=
gn0931903,서울특별시,강남구,본회의,nan,제319회,제9대,제3차,2024.6.24,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8764&mem_sch=all&schwrd=
gn0931902,서울특별시,강남구,본회의,nan,제319회,제9대,제2차,2024.6.17,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8283&mem_sch=all&schwrd=
gn0931901,서울특별시,강남구,본회의,정례회,제319회,제9대,제1차,2024.6.10,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8282&mem_sch=all&schwrd=
gn0931802,서울특별시,강남구,본회의,임시회,제318회,제9대,제2차,2024.5.2,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8286&mem_sch=all&schwrd=
gn0931801,서울특별시,강남구,본회의,임시회,제318회,제9대,제1차,2024.4.23,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8285&mem_sch=all&schwrd=
gn0931702,서울특별시,강남구,본회의,임시회,제317회,제9대,제2차,2024.2.22,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8288&mem_sch=all&schwrd=
gn0931701,서울특별시,강남구,본회의,임시회,제317회,제9대,제1차,2024.2.15,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8287&mem_sch=all&schwrd=
xx0931601,서울특별시,nan,본회의,임시회,제316회,제9대,제1차,2024.1.23,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8289&mem_sch=all&schwrd=
gn0931503,서울특별시,강남구,본회의,nan,제315회,제9대,제3차,2023.12.21,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8292&mem_sch=all&schwrd=
gd0931502,서울특별시,강동구,본회의,정례회,제315회,제9대,제2차,2023.12.6,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8291&mem_sch=all&schwrd=
gn0931501,서울특별시,강남구,본회의,정례회,제315회,제9대,제1차,2023.11.15,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8290&mem_sch=all&schwrd=
dm0931402,서울특별시,동대문구,본회의,임시회,제314회,제9대,제2차,2023.10.19,https://www.gncouncil.go.kr/viewer/minutes.do?uid=8293&mem_sch=all&schwrd=
gn0931401,서울특별시,강남구,본회의,임시회,제314회,제9대,제1차,2023.10.12,https://www.gncouncil.go.kr/viewer/minutes.do?uid=6190&mem_sch=all&schwrd=
